# text_id = 1
# text = Oyun ve eğlence.
# ID	FORM	LEMMA	UPOSTAG	XPOSTAG	FEATS	HEAD	DEPREL	DEPS	MISC
1	Oyun	-	NOUN	-	-	-	-	-	translit=Ойун
2	ve	-	CCONJ	-	-	-	-	-	translit=вэ
3	eğlence	-	NOUN	-	-	-	-	-	translit=эйлэнджэ
4	.	-	PUNCT	-	-	-	-	-	translit=.


# text_id = 2
# text = Ticari PC Oyunları üreten firmaların pek çoğu son yıllara gelinceye kadar Linux sistemlere uygun oyunlar üretmemişlerdir.
# ID	FORM	LEMMA	UPOSTAG	XPOSTAG	FEATS	HEAD	DEPREL	DEPS	MISC
1	Ticari	-	ADJ	-	-	-	-	-	translit=Тиджари
2	PC	-	NOUN	-	-	-	-	-	translit=ПДж
3	Oyunları	-	NOUN	-	-	-	-	-	translit=Ойунлары
4	üreten	-	NOUN	-	-	-	-	-	translit=юрэтэн
5	firmaların	-	NOUN	-	-	-	-	-	translit=фирмаларын
6	pek	-	ADV	-	-	-	-	-	translit=пэк
7	çoğu	-	NOUN	-	-	-	-	-	translit=чойу
8	son	-	ADJ	-	-	-	-	-	translit=сон
9	yıllara	-	NOUN	-	-	-	-	-	translit=йыллара
10	gelinceye	-	VERB	-	-	-	-	-	translit=гэлинджэйэ
11	kadar	-	ADP	-	-	-	-	-	translit=кадар
12	Linux	-	PROPN	-	-	-	-	-	translit=Линукс
13	sistemlere	-	NOUN	-	-	-	-	-	translit=систэмлэрэ
14	uygun	-	ADJ	-	-	-	-	-	translit=уйгун
15	oyunlar	-	NOUN	-	-	-	-	-	translit=ойунлар
16	üretmemişlerdir	-	VERB	-	-	-	-	-	translit=юрэтмэмишлэрдир
17	.	-	PUNCT	-	-	-	-	-	translit=.


# text_id = 3
# text = Bu nedenle Linux sistemlerdeki oyun imkanları oldukça sınırlı kalmıştır.
# ID	FORM	LEMMA	UPOSTAG	XPOSTAG	FEATS	HEAD	DEPREL	DEPS	MISC
1	Bu	-	PRON	-	-	-	-	-	translit=Бу
2	nedenle	-	ADV	-	-	-	-	-	translit=нэдэнлэ
3	Linux	-	PROPN	-	-	-	-	-	translit=Линукс
4	sistemlerdeki	-	NOUN	-	-	-	-	-	translit=систэмлэрдэки
5	oyun	-	NOUN	-	-	-	-	-	translit=ойун
6	imkanları	-	NOUN	-	-	-	-	-	translit=имканлары
7	oldukça	-	VERB	-	-	-	-	-	translit=олдукча
8	sınırlı	-	ADJ	-	-	-	-	-	translit=сынырлы
9	kalmıştır	-	VERB	-	-	-	-	-	translit=калмыштыр
10	.	-	PUNCT	-	-	-	-	-	translit=.


# text_id = 4
# text = Oyun yazılımlarının kullandığı DirectX kütüphanesi Linux sistemlerde çalışmamaktadır.
# ID	FORM	LEMMA	UPOSTAG	XPOSTAG	FEATS	HEAD	DEPREL	DEPS	MISC
1	Oyun	-	NOUN	-	-	-	-	-	translit=Ойун
2	yazılımlarının	-	NOUN	-	-	-	-	-	translit=йазылымларынын
3	kullandığı	-	NOUN	-	-	-	-	-	translit=кулландыйы
4	DirectX	-	PROPN	-	-	-	-	-	translit=ДирэджтКс
5	kütüphanesi	-	NOUN	-	-	-	-	-	translit=кютюпханэси
6	Linux	-	PROPN	-	-	-	-	-	translit=Линукс
7	sistemlerde	-	NOUN	-	-	-	-	-	translit=систэмлэрдэ
8	çalışmamaktadır	-	VERB	-	-	-	-	-	translit=чалышмамактадыр
9	.	-	PUNCT	-	-	-	-	-	translit=.


# text_id = 5
# text = Linux ile çalışan OpenGL kütüphanesi ise üreticiler tarafından tercih edilmemiştir.
# ID	FORM	LEMMA	UPOSTAG	XPOSTAG	FEATS	HEAD	DEPREL	DEPS	MISC
1	Linux	-	PROPN	-	-	-	-	-	translit=Линукс
2	ile	-	ADP	-	-	-	-	-	translit=илэ
3	çalışan	-	NOUN	-	-	-	-	-	translit=чалышан
4	OpenGL	-	PROPN	-	-	-	-	-	translit=ОпэнГЛ
5	kütüphanesi	-	NOUN	-	-	-	-	-	translit=кютюпханэси
6	ise	-	ADV	-	-	-	-	-	translit=исэ
7	üreticiler	-	NOUN	-	-	-	-	-	translit=юрэтиджилэр
8	tarafından	-	NOUN	-	-	-	-	-	translit=тарафындан
9	tercih	-	NOUN	-	-	-	-	-	translit=тэрджих
10	edilmemiştir	-	VERB	-	-	-	-	-	translit=эдилмэмиштир
11	.	-	PUNCT	-	-	-	-	-	translit=.


# text_id = 6
# text = Ancak 2012 yılında Steam oyun platformunun Linux İstemcisi sunmasıyla birlikte bazı popüler oyunların Linux sürümleri üretilmeye başlanmıştır.
# ID	FORM	LEMMA	UPOSTAG	XPOSTAG	FEATS	HEAD	DEPREL	DEPS	MISC
1	Ancak	-	ADV	-	-	-	-	-	translit=Анджак
2	2012	-	NUM	-	-	-	-	-	translit=2012
3	yılında	-	NOUN	-	-	-	-	-	translit=йылында
4	Steam	-	PROPN	-	-	-	-	-	translit=Стэам
5	oyun	-	NOUN	-	-	-	-	-	translit=ойун
6	platformunun	-	NOUN	-	-	-	-	-	translit=платформунун
7	Linux	-	PROPN	-	-	-	-	-	translit=Линукс
8	İstemcisi	-	NOUN	-	-	-	-	-	translit=Истэмджиси
9	sunmasıyla	-	NOUN	-	-	-	-	-	translit=сунмасыйла
10	birlikte	-	ADV	-	-	-	-	-	translit=бирликтэ
11	bazı	-	ADJ	-	-	-	-	-	translit=базы
12	popüler	-	ADJ	-	-	-	-	-	translit=попюлэр
13	oyunların	-	NOUN	-	-	-	-	-	translit=ойунларын
14	Linux	-	PROPN	-	-	-	-	-	translit=Линукс
15	sürümleri	-	NOUN	-	-	-	-	-	translit=сюрюмлэри
16	üretilmeye	-	NOUN	-	-	-	-	-	translit=юрэтилмэйэ
17	başlanmıştır	-	VERB	-	-	-	-	-	translit=башланмыштыр
18	.	-	PUNCT	-	-	-	-	-	translit=.


# text_id = 7
# text = Ayrıca Android işletim sistemine ait uygulama mağazasında da geniş bir oyun seçeneği bulunmaktadır.
# ID	FORM	LEMMA	UPOSTAG	XPOSTAG	FEATS	HEAD	DEPREL	DEPS	MISC
1	Ayrıca	-	ADV	-	-	-	-	-	translit=Айрыджа
2	Android	-	PROPN	-	-	-	-	-	translit=Андроид
3	işletim	-	NOUN	-	-	-	-	-	translit=ишлэтим
4	sistemine	-	NOUN	-	-	-	-	-	translit=систэминэ
5	ait	-	ADJ	-	-	-	-	-	translit=аит
6	uygulama	-	NOUN	-	-	-	-	-	translit=уйгулама
7	mağazasında	-	NOUN	-	-	-	-	-	translit=майазасында
8	da	-	CCONJ	-	-	-	-	-	translit=да
9	geniş	-	ADJ	-	-	-	-	-	translit=гэниш
10	bir	-	DET	-	-	-	-	-	translit=бир
11	oyun	-	NOUN	-	-	-	-	-	translit=ойун
12	seçeneği	-	NOUN	-	-	-	-	-	translit=сэчэнэйи
13	bulunmaktadır	-	VERB	-	-	-	-	-	translit=булунмактадыр
14	.	-	PUNCT	-	-	-	-	-	translit=.


# text_id = 8
# text = Toyota, Nissan, Jaguar, Land Rover, Ford, Mazda, Mitsubishi, Subaru gibi büyük otomobil üreticileri araçlarının dijital sistemlerinde uzun zamandır Linux kullanmaktadır.
# ID	FORM	LEMMA	UPOSTAG	XPOSTAG	FEATS	HEAD	DEPREL	DEPS	MISC
1	Toyota	-	PROPN	-	-	-	-	-	translit=Тойота
2	,	-	PUNCT	-	-	-	-	-	translit=,
3	Nissan	-	PROPN	-	-	-	-	-	translit=Ниссан
4	,	-	PUNCT	-	-	-	-	-	translit=,
5	Jaguar	-	PROPN	-	-	-	-	-	translit=Жагуар
6	,	-	PUNCT	-	-	-	-	-	translit=,
7	Land	-	PROPN	-	-	-	-	-	translit=Ланд
8	Rover	-	PROPN	-	-	-	-	-	translit=Ровэр
9	,	-	PUNCT	-	-	-	-	-	translit=,
10	Ford	-	PROPN	-	-	-	-	-	translit=Форд
11	,	-	PUNCT	-	-	-	-	-	translit=,
12	Mazda	-	PROPN	-	-	-	-	-	translit=Мазда
13	,	-	PUNCT	-	-	-	-	-	translit=,
14	Mitsubishi	PROPN	-	-	-	-	-	-	translit=Митсубисхи
15	,	-	PUNCT	-	-	-	-	-	translit=,
16	Subaru	-	PROPN	-	-	-	-	-	translit=Субару
17	gibi	-	SCONJ	-	-	-	-	-	translit=гиби
18	büyük	-	ADJ	-	-	-	-	-	translit=бюйюк
19	otomobil	-	NOUN	-	-	-	-	-	translit=отомобил
20	üreticileri	-	NOUN	-	-	-	-	-	translit=юрэтиджилэри
21	araçlarının	-	NOUN	-	-	-	-	-	translit=арачларынын
22	dijital	-	ADJ	-	-	-	-	-	translit=дижитал
23	sistemlerinde	-	NOUN	-	-	-	-	-	translit=систэмлэриндэ
24	uzun	-	ADJ	-	-	-	-	-	translit=узун
25	zamandır	-	NOUN	-	-	-	-	-	translit=замандыр
26	Linux	-	PROPN	-	-	-	-	-	translit=Линукс
27	kullanmaktadır	-	VERB	-	-	-	-	-	translit=кулланмактадыр
28	.	-	PUNCT	-	-	-	-	-	translit=.


# text_id = 9
# text = Automotive Grade Linux projesi ise Linux Vakfı tarafından akıllı otomobiller üretilmesi için yürütülmektedir, büyük teknoloji ve otomotiv üreticileri projeye üye olmuşlardır.
# ID	FORM	LEMMA	UPOSTAG	XPOSTAG	FEATS	HEAD	DEPREL	DEPS	MISC
